cme_id,cme_date,cme_pa,cme_width,harpnum,LONDTMIN,LONDTMAX,LATDTMIN,LATDTMAX,flare_id,dimming_id,verification_score
20150205001205043,2015-02-05 00:12:05,43.0,52.0,5154,-17.903799,-13.9086,8.6821,12.1004,,6758.0,5.0
20140822162407280,2014-08-22 16:24:07,280.0,115.0,4470,21.0128,25.5301,12.8387,15.988,,6915.0,5.0
20130311211735262,2013-03-11 21:17:35,262.0,54.0,2553,89.001698,90.0,-25.924,-22.8976,,6519.0,5.0
20101130191205076,2010-11-30 19:12:05,76.0,100.0,275,-41.21195,-36.58364999999999,13.266150499999998,16.582849500000002,,4401.0,5.0
20140613082405127,2014-06-13 08:24:05,127.0,42.0,4242,-30.9893,-25.965099,-25.8601,-22.5047,,8597.0,5.0
20140219160006190,2014-02-19 16:00:06,190.0,267.0,3775,-9.0636,-3.4816,-33.726501,-30.282101,,7078.0,5.0
20161105043605326,2016-11-05 04:36:05,326.0,222.0,6833,13.2302,18.0499,16.1891,20.5196,,8981.0,5.0
20120629040006260,2012-06-29 04:00:06,260.0,120.0,1798,28.4872495,34.649150500000005,-12.8693,-9.4497,,5732.0,5.0
20120502021205272,2012-05-02 02:12:05,272.0,27.0,1633,79.028198,87.461197,8.9219,11.6972,3674.0,,4.0
20141206220005302,2014-12-06 22:00:05,302.0,43.0,4896,38.703201,45.411098,7.1988,10.8115,,8328.0,5.0
20111117171205224,2011-11-17 17:12:05,224.0,103.0,1063,30.233601,36.7761,4.092,7.8464,,5062.0,5.0
20130716040005136,2013-07-16 04:00:05,136.0,132.0,2972,-27.480499,-20.3451,5.1398,8.6694,,6556.0,5.0
20141103050005032,2014-11-03 05:00:05,32.0,93.0,4778,-15.8149,-8.4918,4.2497,7.9027,,7909.0,5.0
20160502091209060,2016-05-02 09:12:09,60.0,61.0,6530,-36.676899,-29.8943,18.7869,23.071301,12209.0,8927.0,3.0
20130201220203137,2013-02-01 22:02:03,137.0,84.0,2432,-28.02,-20.0357,-27.5749,-23.677099,,6342.0,5.0
20140926042816999,2014-09-26 04:28:16,,360.0,4597,16.818399,23.692101,5.395,9.7228,,7394.0,5.0
20120121094805286,2012-01-21 09:48:05,286.0,81.0,1326,47.136902,54.282299,15.9543,20.312,,5320.0,5.0
20130123141205351,2013-01-23 14:12:05,351.0,185.0,2413,-42.869101,-35.920899000000006,15.521600499999998,20.3113995,,6334.0,5.0
20140912182405335,2014-09-12 18:24:05,335.0,217.0,4548,-13.8171,-6.4645,12.5712,17.400299,,7209.0,5.0
20100904080823289,2010-09-04 08:08:23,289.0,12.0,155,59.934299,69.080002,24.2726,28.535601,348.0,,4.0
20130531121207118,2013-05-31 12:12:07,118.0,84.0,2808,-37.3186,-28.101801,-20.5448,-16.541901,6130.0,7578.0,3.0
20120324002405999,2012-03-24 00:24:05,,360.0,1493,63.951698,74.051903,-31.0737,-27.099701,3480.0,,4.0
20120229012548294,2012-02-29 01:25:48,294.0,113.0,1429,39.751202,48.9277,-17.717199,-13.7145,,5371.0,5.0
20150713093604111,2015-07-13 09:36:04,111.0,104.0,5775,-50.813499,-43.277599,-6.5597,-1.7895,,8391.0,5.0
20150115152405020,2015-01-15 15:24:05,20.0,146.0,5072,-7.9916,0.5037,36.263401,41.944199,,6585.0,5.0
20100524140605999,2010-05-24 14:06:05,,360.0,25,23.658001,32.392502,18.135799,22.745199,,4322.0,5.0
20120415022407079,2012-04-15 02:24:07,79.0,173.0,1572,-72.049698,-63.27,4.6792,9.2918,3566.0,,4.0
20140103180006154,2014-01-03 18:00:06,154.0,60.0,3576,-42.532799,-31.672701,-32.765202,-28.3857,,6414.0,5.0
20140107182405999,2014-01-07 18:24:05,,360.0,3576,9.7898,20.649799,-32.765202,-28.3857,,6524.0,5.0
20130806021205048,2013-08-06 02:12:05,48.0,207.0,3042,-40.545101,-31.3939,15.6361,20.399599,,6701.0,5.0
20170713203605260,2017-07-13 20:36:05,260.0,61.0,7078,63.236698,74.080902,10.276,14.2075,13582.0,,2.0
20170713223605261,2017-07-13 22:36:05,261.0,57.0,7078,64.362396,75.206703,10.276,14.2075,13585.0,9017.0,1.0
20170714001207261,2017-07-14 00:12:07,261.0,54.0,7078,65.2631,76.1073,10.276,14.2075,13586.0,,4.0
20121109151208175,2012-11-09 15:12:08,175.0,276.0,2176,11.5404,21.085899,-18.8144,-14.1188,,6114.0,5.0
20180302012540271,2018-03-02 01:25:40,271.0,55.0,7240,50.358101,59.028099,3.2436,8.3479,14172.0,9054.0,3.0
20150812144805221,2015-08-12 14:48:05,221.0,204.0,5851,21.849001,31.1754,-24.3496,-19.1299,,8624.0,5.0
20130406201205332,2013-04-06 20:12:05,332.0,60.0,2626,34.001598,44.7374,15.2957,19.777599,5707.0,,4.0
20140803191205044,2014-08-03 19:12:05,44.0,46.0,4423,-28.044701,-16.8811,5.0699,9.3608,,6722.0,5.0
20141119020005039,2014-11-19 02:00:05,39.0,126.0,4839,-44.262501,-33.294498,7.1546,11.7871,,8163.0,5.0
20141121024805027,2014-11-21 02:48:05,27.0,68.0,4839,-16.695,-5.727,7.1546,11.7871,,8176.0,5.0
20151029023604259,2015-10-29 02:36:04,259.0,202.0,6054,25.978201,36.145302,16.9753,22.212601,11332.0,8757.0,3.0
20120901101205347,2012-09-01 10:12:05,347.0,136.0,1974,-4.3036,6.3938,7.9204,12.7743,,5968.0,5.0
20160530154805306,2016-05-30 15:48:05,306.0,54.0,6591,20.5865,31.902399,12.5587,17.234699,12323.0,,4.0
20150802122404076,2015-08-02 12:24:04,76.0,60.0,5845,-90.0,-81.114998,9.3304,14.4141,10777.0,,4.0
20180122031208275,2018-01-22 03:12:08,275.0,116.0,7229,53.277699,61.628101,-15.6877,-9.1326,14074.0,,4.0
20131213020005283,2013-12-13 02:00:05,283.0,92.0,3482,61.192402,71.802597,-8.3605,-3.2725,,8390.0,5.0
20160203181206246,2016-02-03 18:12:06,246.0,25.0,6319,21.052299,32.675301,-8.8404,-4.0637,11794.0,,4.0
20150312024806079,2015-03-12 02:48:06,79.0,50.0,5326,-79.415398,-70.845802,-11.5894,-4.81,10023.0,,2.0
20150518211730234,2015-05-18 21:17:30,234.0,77.0,5544,63.557301,76.068398,-22.3634,-17.398199,,8169.0,5.0
20110928084807101,2011-09-28 08:48:07,101.0,50.0,905,-31.549100000000003,-21.6293,-24.9848,-18.6066,,4844.0,5.0
20120905100007083,2012-09-05 10:00:07,83.0,62.0,2014,-51.0019,-42.757702,-22.509399,-14.8909,,5989.0,5.0
20140403201206226,2014-04-03 20:12:06,226.0,125.0,3915,46.492802,58.291,-24.662901,-19.156601,,7736.0,5.0
20160614132544069,2016-06-14 13:25:44,69.0,64.0,6622,-55.020901,-43.024101,9.7899,14.9672,,8947.0,5.0
20120101012549040,2012-01-01 01:25:49,40.0,23.0,1270,-30.1106,-18.2948,28.0511,34.047699,,5260.0,5.0
20140607071205277,2014-06-07 07:12:05,277.0,123.0,4179,74.661598,87.857201,-14.5617,-9.8367,8375.0,,4.0
20160627103605086,2016-06-27 10:36:05,86.0,99.0,6641,-44.3032,-32.4175,9.6917,15.0346,,8954.0,5.0
20150516112405358,2015-05-16 11:24:05,358.0,183.0,5561,-3.9297,4.1294,16.7589,25.572701,,8141.0,5.0
20161119072406101,2016-11-19 07:24:06,101.0,83.0,6846,-45.905399,-34.1306,-0.0494,5.6754,12819.0,,4.0
20150512122405270,2015-05-12 12:24:05,270.0,89.0,5534,51.5485,63.380501,-20.138,-14.1673,,8077.0,5.0
20120429093605061,2012-04-29 09:36:05,61.0,145.0,1627,-53.857201,-44.618099,15.0764,22.8372,,5523.0,5.0
20121110051206189,2012-11-10 05:12:06,189.0,210.0,2177,-14.5143,-3.8089,-26.0383,-19.1623,4946.0,6115.0,3.0
20180331094805097,2018-03-31 09:48:05,97.0,64.0,7246,-64.406403,-52.142101,-11.7542,-5.8301,14187.0,,4.0
20151216142404999,2015-12-16 14:24:04,,360.0,6190,-38.664902,-27.814899,-30.937099,-23.4011,,8806.0,5.0
20100904151209270,2010-09-04 15:12:09,270.0,130.0,145,60.871201,74.176804,9.3507,15.2334,351.0,,4.0
20111015051205291,2011-10-15 05:12:05,291.0,57.0,956,26.266001,40.773201,17.155399,22.7644,,4910.0,5.0
20150603163605009,2015-06-03 16:36:05,9.0,136.0,5627,12.2279,26.020599,6.4132,12.058,,8291.0,5.0
20150215004805064,2015-02-15 00:48:05,64.0,93.0,5212,-49.530701,-38.218201,10.4122,17.5061,9871.0,6887.0,3.0
20111114202405179,2011-11-14 20:24:05,179.0,137.0,1048,31.026501,44.7654,-23.4653,-17.392799,,5032.0,5.0
20100805232645300,2010-08-05 23:26:45,300.0,37.0,107,52.726799,64.837502,20.5835,27.810699,255.0,,4.0
20110502171206081,2011-05-02 17:12:06,81.0,97.0,562,-36.174301,-22.3009,-23.0319,-16.851801,,4582.0,5.0
20121209180006304,2012-12-09 18:00:06,304.0,145.0,2270,-13.348,0.0246,15.6865,22.2589,5160.0,,4.0
20120727034448290,2012-07-27 03:44:48,290.0,71.0,1886,54.063801,67.926804,11.5305,17.8559,4322.0,5863.0,3.0
20160313231208336,2016-03-13 23:12:08,336.0,114.0,6424,-12.1821,1.138,16.130501,23.004801,12014.0,,4.0
20100507080605317,2010-05-07 08:06:05,317.0,23.0,8,47.7999,67.0765,37.777802,43.764599,32.0,,4.0
20100508053006310,2010-05-08 05:30:06,310.0,33.0,8,59.099701,78.376297,37.777802,43.764599,37.0,,2.0
20150504031210999,2015-05-04 03:12:10,,360.0,5537,-63.137001,-48.0825,1.3879,7.2192,10345.0,,4.0
20100523180605999,2010-05-23 18:06:05,,360.0,24,1.9294,16.5865,12.8512,19.236099,,4321.0,5.0
20150815124804288,2015-08-15 12:48:04,288.0,61.0,5856,28.9526,43.404202,13.2558,19.7974,,8641.0,5.0
20131108032407999,2013-11-08 03:24:07,,360.0,3344,19.797199,32.1824,-22.8647,-15.092,6969.0,,2.0
20100810050005308,2010-08-10 05:00:05,308.0,28.0,116,15.8476,31.367901,18.699301,25.088301,273.0,,4.0
20111116164805068,2011-11-16 16:48:05,68.0,132.0,1090,-66.195999,-53.184101,13.3906,20.809,,5044.0,5.0
20150318144805318,2015-03-18 14:48:05,318.0,73.0,5315,56.481098,72.283997,7.4135,13.3722,10097.0,,4.0
20130305034805999,2013-03-05 03:48:05,,360.0,2519,42.347301,58.293999,-17.005899,-10.9845,5566.0,,4.0
20160808204806260,2016-08-08 20:48:06,260.0,84.0,6692,22.858299,36.636101,10.4905,17.476299,12584.0,,4.0
20181012022405095,2018-10-12 02:24:05,95.0,46.0,7312,-77.4207,-64.569801,-12.6244,-5.1263,14376.0,,4.0
